source_dir,algorithm,reward_name,reward_key,episodes,policy,grid_import_kwh,export_kwh,net_consumption_kwh,discomfort_proportion,discomfort_cold_proportion,discomfort_hot_proportion,all_rewards,cost_total_ratio,carbon_emissions_total_ratio,daily_peak_average_ratio,ramping_average_ratio,savings_vs_fixed_pct,train_sec,stability_episode,last_10_episode_reward_mean
outputs_q_learning1604_03,Q-learning,3 actions,3_actions,400.0,Q-learning (3 actions),663.454,,549.253,0.6648,,,-1433.577,,,,,61.609,1031.35,95.0,-1608.523
outputs_q_learning1704_01_withSolar,Q-learning,3 actions + Solar,3_actions_+_solar,800.0,Q-learning (3 actions + Solar),708.088,,586.142,0.7097,,,-1514.079,,,,,59.026,2070.81,82.0,-1652.765
outputs_q_learning2404_02_01,Q-learning,Combined reward,combined,1.0,Q-learning (Combined reward),1853.796,,1686.788,0.6144,,,-18928.861,,,,,55.017,8.23,,-6600.403
outputs_q_learning0105_02,Q-learning,Combined reward,combined,2.0,Q-learning (Combined reward),2434.482,,2314.562,0.5372,,,-10440.092,,,,,-131.073,17.56,,-6769.021
outputs_q_learning1804_05_2,Q-learning,Combined reward,combined,2.0,Q-learning (Combined reward),2207.142,,2121.063,0.4509,,,-10623.238,,,,,46.443,15.32,,-6579.308
outputs_q_learning0105_03,Q-learning,Combined reward,combined,30.0,Q-learning (Combined reward),2748.047,,2679.444,0.4842,,,-7932.609,,,,,-160.836,237.26,25.0,-6076.786
outputs_q_learning1804_05,Q-learning,Combined reward,combined,50.0,Q-learning (Combined reward),3119.171,,3080.406,0.4898,,,-4857.303,,,,,24.312,414.4,38.0,-5577.341
outputs_q_learning1804_05_200_copy,Q-learning,Combined reward,combined,200.0,Q-learning (Combined reward),3286.115,,3275.774,0.7447,,,-6884.942,,,,,20.261,1626.54,38.0,-5075.844
outputs_q_learning2404_02_01,Q-learning,Comfort reward,comfort,1.0,Q-learning (Comfort reward),1853.796,,1686.788,0.6144,,,-89797.471,,,,,55.017,7.77,,-12781.504
outputs_q_learning0105_02,Q-learning,Comfort reward,comfort,2.0,Q-learning (Comfort reward),2434.482,,2314.562,0.5372,,,-44870.094,,,,,-131.073,15.49,,-13626.664
outputs_q_learning1804_05_2,Q-learning,Comfort reward,comfort,2.0,Q-learning (Comfort reward),2812.254,,2759.733,0.5335,,,-32365.483,,,,,31.759,15.47,,-12700.562
outputs_q_learning1804_05,Q-learning,Comfort reward,comfort,50.0,Q-learning (Comfort reward),4347.348,,4337.221,0.8469,,,-11579.289,,,,,-5.49,400.97,20.0,-10947.558
outputs_q_learning1804_05_200_copy,Q-learning,Comfort reward,comfort,200.0,Q-learning (Comfort reward),3486.317,,3464.333,0.6342,,,-9916.01,,,,,15.403,1525.74,20.0,-10312.986
outputs_q_learning2404_02_01,Q-learning,Energy-only reward,energy,1.0,Q-learning (Energy-only reward),1549.233,,1404.143,0.7248,,,-1593.311,,,,,62.407,7.53,,-4374.529
outputs_q_learning0105_02,Q-learning,Energy-only reward,energy,2.0,Q-learning (Energy-only reward),1504.786,,1269.645,0.7904,,,-1604.232,,,,,-42.829,16.81,,-4368.297
outputs_q_learning1804_05_2,Q-learning,Energy-only reward,energy,2.0,Q-learning (Energy-only reward),1838.63,,1690.903,0.5755,,,-1904.671,,,,,55.385,16.3,,-4389.403
outputs_q_learning1804_05,Q-learning,Energy-only reward,energy,50.0,Q-learning (Energy-only reward),1500.157,,1386.75,0.8183,,,-1551.692,,,,,63.598,398.94,,-2504.578
outputs_q_learning1804_03,Q-learning,Energy-only reward,energy,200.0,Q-learning (Energy-only reward),1272.885,,1156.162,0.8911,,,-1329.182,,,,,69.113,1570.29,102.0,-1582.478
outputs_q_learning1804_05_200_copy,Q-learning,Energy-only reward,energy,200.0,Q-learning (Energy-only reward),1272.885,,1156.162,0.8911,,,-1329.182,,,,,69.113,1622.8,102.0,-1582.478
outputs_q_learning1804_01_backup,Q-learning,Energy-only reward,energy,400.0,Q-learning (Energy-only reward),678.771,,560.704,0.6438,,,-678.771,,,,,60.722,1070.02,77.0,-719.966
outputs_q_learning0105_06,Q-learning,Grid import only,grid_import_only,50.0,Q-learning (Grid import only),1114.202,60.068,1054.134,0.4067,,,-1114.202,,,,,-5.688,158.02,20.0,-1130.137
outputs_q_learning2404_02_01,Q-learning,NightPrecharge reward,nightprecharge,1.0,Q-learning (NightPrecharge reward),1417.629,,1229.738,0.8972,,,-1240.815,,,,,65.601,7.67,,-4227.929
outputs_q_learning0105_02,Q-learning,NightPrecharge reward,nightprecharge,2.0,Q-learning (NightPrecharge reward),1140.729,,933.949,0.9645,,,-1257.883,,,,,-8.274,17.16,,-4247.939
outputs_q_learning1804_05_2,Q-learning,NightPrecharge reward,nightprecharge,2.0,Q-learning (NightPrecharge reward),1248.679,,1048.146,0.9492,,,-1245.461,,,,,69.7,15.36,,-4254.387
outputs_q_learning0105_03,Q-learning,NightPrecharge reward,nightprecharge,30.0,Q-learning (NightPrecharge reward),1115.534,,963.953,0.9599,,,-1242.344,,,,,-5.883,236.05,,-2875.611
outputs_q_learning1804_05,Q-learning,NightPrecharge reward,nightprecharge,50.0,Q-learning (NightPrecharge reward),1747.06,,1622.362,0.5674,,,-1950.819,,,,,57.607,406.32,,-2299.038
outputs_q_learning1804_05_200_copy,Q-learning,NightPrecharge reward,nightprecharge,200.0,Q-learning (NightPrecharge reward),1112.857,,953.06,0.9711,,,-1046.248,,,,,72.996,1614.84,,-1550.752
outputs_q_learning2404_02_01,Q-learning,Peak-shaving reward,peak_shaving,1.0,Q-learning (Peak-shaving reward),1549.233,,1404.143,0.7248,,,-3397.266,,,,,62.407,7.61,,-15238.018
outputs_q_learning0105_02,Q-learning,Peak-shaving reward,peak_shaving,2.0,Q-learning (Peak-shaving reward),1504.786,,1269.645,0.7904,,,-4756.876,,,,,-42.829,16.05,,-16186.314
outputs_q_learning1804_05_2,Q-learning,Peak-shaving reward,peak_shaving,2.0,Q-learning (Peak-shaving reward),1675.802,,1528.075,0.7516,,,-4866.767,,,,,59.336,15.14,,-15433.181
outputs_q_learning0105_06,Q-learning,Peak shaving,peak_shaving,50.0,Q-learning (Peak shaving),1085.3,39.146,1046.154,0.4067,,,-2801.905,,,,,-2.947,167.84,20.0,-3334.001
outputs_q_learning1804_05,Q-learning,Peak-shaving reward,peak_shaving,50.0,Q-learning (Peak-shaving reward),1962.024,,1925.977,0.5681,,,-4363.064,,,,,52.391,386.76,,-8362.973
outputs_q_learning1804_05_200_copy,Q-learning,Peak-shaving reward,peak_shaving,200.0,Q-learning (Peak-shaving reward),1752.008,,1632.572,0.5734,,,-4180.62,,,,,57.487,1536.8,,-4846.85
outputs_q_learning2404_02_01,Q-learning,Pricing reward,pricing,1.0,Q-learning (Pricing reward),1549.233,,1404.143,0.7248,,,-1689.203,,,,,62.407,7.92,,-4646.238
outputs_q_learning0105_02,Q-learning,Pricing reward,pricing,2.0,Q-learning (Pricing reward),1504.786,,1269.645,0.7904,,,-1702.399,,,,,-42.829,15.8,,-4639.697
outputs_q_learning1804_05_2,Q-learning,Pricing reward,pricing,2.0,Q-learning (Pricing reward),1838.63,,1690.903,0.5755,,,-2038.293,,,,,55.385,16.15,,-4662.812
outputs_q_learning0105_03,Q-learning,Pricing reward,pricing,30.0,Q-learning (Pricing reward),1193.776,,1018.423,0.9492,,,-1348.304,,,,,-13.309,255.78,,-3231.666
outputs_q_learning0105_04,Q-learning,Pricing reward,pricing,50.0,Q-learning (Pricing reward),1088.398,39.32,1049.078,0.4067,,,-1159.529,,,,,-3.24,130.42,20.0,-1200.306
outputs_q_learning0205_02,Q-learning,Pricing reward,pricing,50.0,Q-learning (Pricing reward),1806.14,81.258,1724.882,0.6905,0.09,0.6005,-1963.618,0.6666,0.7049,1.0142,1.5399,27.983,420.97,,-2645.785
outputs_q_learning1804_05,Q-learning,Pricing reward,pricing,50.0,Q-learning (Pricing reward),1806.14,,1724.882,0.6905,,,-1963.618,,,,,56.173,405.05,,-2645.785
