time_step,fixed_reward,fixed_cumulative_reward,fixed_grid_import_Building_3_kwh,fixed_grid_import_kwh,fixed_cumulative_grid_import_kwh,q_learning_reward,q_learning_cumulative_reward,q_learning_grid_import_Building_3_kwh,q_learning_grid_import_kwh,q_learning_cumulative_grid_import_kwh,reward_delta_q_minus_fixed,grid_import_delta_fixed_minus_q,cumulative_reward_delta_q_minus_fixed,cumulative_grid_import_delta_fixed_minus_q
10,-2.3331738850901727,-23.60291412531095,0.8982958197593689,0.8982958197593689,9.361115396022797,-2.3331738850901727,-23.60291412531095,0.8982958197593689,0.8982958197593689,9.361115396022797,0.0,0.0,0.0,0.0
11,-0.5835094451904297,-24.18642357050138,0.5835094451904297,0.5835094451904297,9.944624841213226,-0.5835094451904297,-24.18642357050138,0.5835094451904297,0.5835094451904297,9.944624841213226,0.0,0.0,0.0,0.0
12,-0.5446231961250305,-24.73104676662641,0.2178492844104766,0.2178492844104766,10.162474125623705,-0.5446231961250305,-24.73104676662641,0.2178492844104766,0.2178492844104766,10.162474125623705,0.0,0.0,0.0,0.0
13,-3.34533429145813,-28.07638105808454,1.338133692741394,1.338133692741394,11.500607818365095,0.0,-24.73104676662641,0.0,0.0,10.162474125623705,3.34533429145813,1.338133692741394,3.34533429145813,1.3381336927413905
14,-1.1124048233032229,-29.18878588138776,1.1124048233032229,1.1124048233032229,12.61301264166832,0.0,-24.73104676662641,0.0,0.0,10.162474125623705,1.1124048233032229,1.1124048233032229,4.457739114761349,2.450538516044615
15,-5.09699821472168,-34.28578409610944,2.038799285888672,2.038799285888672,14.651811927556992,-1.6248708963394165,-26.355917662965823,0.6499483585357666,0.6499483585357666,10.81242248415947,3.472127318382263,1.3888509273529053,7.929866433143616,3.839389443397522
16,-4.239327430725098,-38.525111526834536,1.6957309246063232,1.6957309246063232,16.347542852163315,-0.7671999335289001,-27.12311759649473,0.3068799674510956,0.3068799674510956,11.119302451610563,3.4721274971961975,1.3888509571552277,11.401993930339806,5.228240400552751
17,-4.709254264831543,-43.23436579166608,1.8837016820907595,1.8837016820907595,18.231244534254078,-1.2371268272399902,-28.36024442373472,0.4948507249355316,0.4948507249355316,11.614153176546097,3.4721274375915527,1.3888509571552279,14.874121367931359,6.617091357707981
18,-5.546149253845215,-48.780515045511294,2.2184596061706543,2.2184596061706543,20.44970414042473,-2.074021816253662,-30.43426623998838,0.829608678817749,0.829608678817749,12.443761855363846,3.4721274375915527,1.3888509273529053,18.346248805522915,8.005942285060883
19,-5.935416221618652,-54.715931267129946,2.374166488647461,2.374166488647461,22.82387062907219,-2.4632890224456787,-32.897555262434054,0.9853156208992004,0.9853156208992004,13.429077476263046,3.4721271991729736,1.3888508677482605,21.818376004695892,9.394793152809143
20,-6.152272701263428,-60.868203968393374,2.460909128189087,2.460909128189087,25.28477975726128,-2.680145502090454,-35.57770076452451,1.0720582008361816,1.0720582008361816,14.501135677099228,3.4721271991729736,1.3888509273529053,25.290503203868866,10.783644080162052
21,-8.381113052368164,-69.24931702076154,3.352445125579834,3.352445125579834,28.63722488284111,-4.908985614776611,-40.48668637930112,1.9635943174362185,1.9635943174362185,16.464729994535446,3.4721274375915527,1.3888508081436155,28.76263064146042,12.172494888305664
22,-8.394747734069824,-77.64406475483136,3.3578991889953613,3.3578991889953613,31.99512407183647,-4.92262077331543,-45.40930715261655,1.9690483808517456,1.9690483808517456,18.43377837538719,3.4721269607543945,1.3888508081436157,32.23475760221481,13.56134569644928
23,-8.56697940826416,-86.21104416309552,3.4267919063568115,3.4267919063568115,35.42191597819328,-5.094852447509766,-50.50415960012632,2.0379409790039062,2.0379409790039062,20.471719354391094,3.4721269607543945,1.3888509273529053,35.7068845629692,14.950196623802189
24,-4.529824733734131,-90.74086889682964,1.811929941177368,1.811929941177368,37.23384591937065,-1.0576974153518677,-51.56185701547818,0.4230789840221405,0.4230789840221405,20.89479833841324,3.472127318382263,1.3888509571552274,39.17901188135146,16.339047580957413
25,-4.522193908691406,-95.26306280552106,1.8088774681091309,1.8088774681091309,39.04272338747978,-1.0500664710998535,-52.61192348657804,0.4200266003608703,0.4200266003608703,21.31482493877411,3.4721274375915527,1.3888508677482605,42.65113931894302,17.727898448705673
