time_step,reward,cumulative_reward,grid_import_Building_3_kwh,grid_import_kwh,cumulative_grid_import_kwh
35,-0.17975840271846552,-65.03814922280218,0.07158578187227249,0.07158578187227249,26.16639570146799
36,0.0,-65.03814922280218,0.0,0.0,26.16639570146799
37,0.0,-65.03814922280218,0.0,0.0,26.16639570146799
38,-0.3824012875556946,-65.42055051035787,0.15296050906181335,0.15296050906181335,26.319356210529804
39,-0.4940131604671478,-65.91456367082502,0.19760526716709137,0.19760526716709137,26.516961477696896
40,-2.117931842803955,-68.03249551362897,0.847172737121582,0.847172737121582,27.364134214818478
41,-1.5220234394073486,-69.55451895303632,0.6088093519210815,0.6088093519210815,27.97294356673956
42,-2.813422203063965,-72.36794115610029,1.1253688335418701,1.1253688335418701,29.09831240028143
43,-1.8264626264572144,-74.1944037825575,0.7305850386619568,0.7305850386619568,29.828897438943386
44,-1.1306167840957642,-75.32502056665327,0.4522467255592346,0.4522467255592346,30.28114416450262
45,-1.750313639640808,-77.07533420629407,0.7001254558563232,0.7001254558563232,30.981269620358944
46,-1.732784628868103,-78.80811883516218,0.6931138634681702,0.6931138634681702,31.674383483827114
47,-1.06929349899292,-79.8774123341551,0.4277174174785614,0.4277174174785614,32.102100901305676
48,-1.0552011728286743,-80.93261350698377,0.42208048701286316,0.42208048701286316,32.52418138831854
49,-1.0475046634674072,-81.98011817045118,0.41900184750556946,0.41900184750556946,32.94318323582411
50,-1.041507363319397,-83.02162553377057,0.4166029393672943,0.4166029393672943,33.3597861751914
51,-1.0470744371414185,-84.068699970912,0.4188297688961029,0.4188297688961029,33.778615944087505
52,-1.0879008769989014,-85.1566008479109,0.4351603388786316,0.4351603388786316,34.21377628296614
53,-1.2495237588882446,-86.40612460679914,0.49980950355529785,0.49980950355529785,34.713585786521435
54,-1.150852084159851,-87.55697669095899,0.46034082770347595,0.46034082770347595,35.17392661422491
55,-0.9594290256500244,-88.51640571660901,0.3837715983390808,0.3837715983390808,35.55769821256399
56,-2.6490962505340576,-91.16550196714307,1.059638500213623,1.059638500213623,36.617336712777615
57,-2.1194443702697754,-93.28494633741285,0.8477777242660522,0.8477777242660522,37.46511443704367
58,-4.925899982452393,-98.21084631986524,1.9703600406646729,1.9703600406646729,39.43547447770834
59,-2.2752842903137207,-100.48613061017896,0.9101137518882751,0.9101137518882751,40.345588229596615
60,-3.0816211700439453,-103.5677517802229,1.232648491859436,1.232648491859436,41.57823672145605
61,-20.776912689208984,-124.34466446943189,8.310765266418457,8.310765266418457,49.88900198787451
62,-2.7210581302642822,-127.06572259969617,1.088423252105713,1.088423252105713,50.97742523998022
63,-3.429701089859009,-130.4954236895552,1.3718804121017456,1.3718804121017456,52.349305652081966
64,-4.441070079803467,-134.93649376935866,1.776427984237671,1.776427984237671,54.12573363631964
65,-2.450326681137085,-137.38682045049575,0.980130672454834,0.980130672454834,55.10586430877447
66,-5.1672468185424805,-142.55406726903823,2.066898822784424,2.066898822784424,57.172763131558895
67,-3.3078038692474365,-145.86187113828566,1.3231215476989746,1.3231215476989746,58.49588467925787
68,-2.911846399307251,-148.77371753759292,1.1647385358810425,1.1647385358810425,59.66062321513891
