policy_x,hour,fixed_avg_energy_import,fixed_avg_cost,fixed_avg_load,fixed_avg_solar_generation,fixed_avg_soc,fixed_avg_action,policy_y,q_avg_energy_import,q_avg_cost,q_avg_load,q_avg_solar_generation,q_avg_soc,q_avg_action,energy_delta,cost_delta,energy_delta_%,cost_delta_%
fixed,13,0.39095683956702987,-1.1112474481136374,1.021493727075202,2.624502956314565,0.0,0.0,q_agent,0.8221182626887009,-0.46658457877632686,1.021493727075202,2.624502956314565,0.4306102166039317,0.06310096153846154,-0.43116142312167105,-0.6446628693373105,-110.28363734451257,
fixed,14,0.4592790327925276,-1.0441648899342888,0.9724786132778768,2.323204122534902,0.0,0.0,q_agent,2.0984938656194854,-0.026057822113616166,0.9724786132778768,2.323204122534902,0.5692364464726319,0.1288847870879121,-1.6392148328269578,-1.0181070678206727,-356.91044349665503,
fixed,15,0.700832766777539,-0.621782199678549,0.9704824699969082,1.7659257421452952,0.0,0.0,q_agent,4.365444748682881,0.7116968193724216,0.9704824699969082,1.7659257421452952,0.7369768215716909,0.22138993818681318,-3.664611981905342,-1.3334790190509707,-500.0,
fixed,16,1.865191420404609,0.12651127695354153,1.2034539186938122,1.1234883180170852,0.0,0.0,q_agent,1.4827595131604798,-0.9458183707761486,1.2034539186938122,1.1234883180170852,0.6464484256083289,-0.16150841346153846,0.3824319072441291,1.0723296477296902,20.503627834679275,500.0
fixed,17,3.6575720645942393,1.5948962784055476,1.5585797910506909,0.5610778947593644,0.0,0.0,q_agent,3.3601034553763105,1.2501521497556947,1.5585797910506909,0.5610778947593644,0.6084422688358105,-0.054945054945054944,0.29746860921792884,0.34474412864985293,8.132952788475793,21.615457589160666
fixed,18,5.330298586013275,2.653913285370739,1.7679609572821922,0.15556223718462267,0.0,0.0,q_agent,3.948027704998518,1.7545744155126977,1.7679609572821922,0.15556223718462267,0.5239670519697208,-0.1480940934065934,1.3822708810147573,0.8993388698580411,25.932334909752363,33.88727411763975
fixed,19,6.563056690869477,3.27173073348121,2.0690787285156955,0.006539056813990401,0.0,0.0,q_agent,6.992234405201577,3.4235549409769086,2.0690787285156955,0.006539056813990401,0.5229108835478405,0.014272836538461538,-0.4291777143321003,-0.1518242074956988,-6.539296162551396,-4.640486026004767
fixed,20,5.728352764032062,2.857746910615962,1.8679624522043454,0.0,0.0,0.0,q_agent,2.818737103038883,1.2052088267038656,1.8679624522043454,0.0,0.36012180411969413,-0.2395260989010989,2.909615660993179,1.6525380839120962,50.79323464962665,57.82660730987918
fixed,21,5.644917295510069,1.207356478990705,1.506804630365018,0.0,0.0,0.0,q_agent,6.194823673255149,1.2789595560867384,1.506804630365018,0.0,0.3960827038822322,-0.054515796703296704,-0.5499063777450797,-0.07160307709603342,-9.741619743170935,-5.9305663523577
fixed,22,5.769130767115574,1.2359117263473423,1.278215500618239,0.0,0.0,0.0,q_agent,3.8510995748591754,0.7271765432138868,1.278215500618239,0.0,0.31589362572901664,-0.12255322802197802,1.9180311922563988,0.5087351831334554,33.24645028310509,41.16274425496306
fixed,23,5.552128320357,1.1901172637508415,1.126041504830777,0.0,0.0,0.0,q_agent,4.893996879058084,1.009254459441354,1.126041504830777,0.0,0.2446494474010111,-0.11407537774725275,0.6581314412989165,0.18086280430948753,11.853678505337552,15.197057451252325
fixed,24,5.116096941006412,1.0965193640427435,1.1281688952675233,0.0,0.0,0.0,q_agent,5.725074082701271,1.1932721154724273,1.1281688952675233,0.0,0.2549087326580705,-0.04782652243589743,-0.6089771416948588,-0.09675275142968376,-11.903158769604236,-8.823624516120468
